"DateTime","Ethereum","Tron","Solana","BNB Chain","Arbitrum","Base","Polygon PoS","Plasma","Avalanche C-Chain","Aptos","Other (13)"
"2022-05-31 00:00:00",99422592327.52998,34710253648.59,6119943764.960001,11996244931.810001,1286754056.58,0,2374781734.13,0,3545972195.13,0,558365662.51
"2022-06-30 00:00:00",96470221034.34999,32139098793.700005,5920146717.02,11891604820.52,1236427795.18,0,2343578469.67,0,3073083735.46,0,579708045
"2022-07-31 00:00:00",95712480967.79999,32866056638.059994,5977082543.580001,11883171870.590002,1287095862.1,0,2388603434.44,0,2850992814.99,0,672973232.99
"2022-08-31 00:00:00",96484944827.65001,36492925872.56,5855230402.08,11186397761.659998,1347897062.29,0,2626301479.49,0,2614005813.5299997,0,931286850.61
"2022-09-30 00:00:00",94817673320.58002,35877756543.88,4994555906.24,11173729534.009998,1417625570.87,0,2172955704.05,0,2460888130.81,0,1006221975.86
"2022-10-31 00:00:00",92443642480.01999,36704167517.840004,3845736667.8999996,11178140444.9,1177831606.3600001,0,1728432544.85,0,1813219847.24,0,1042155951.4399998
"2022-11-30 00:00:00",89870082732.56001,36231199399.350006,2010670555.91,10374637311.2,989875852.95,0,1646974382.52,0,1871197480.32,0,803177258.74
"2022-12-31 00:00:00",87627179055.13,33081157394.579998,1819111728.0700002,9090921227.359997,922141702.09,0,1702729024.4500003,0,1636268921.0900002,0,849419657.5799999
"2023-01-31 00:00:00",84109721236.83,35837426929.93999,1768659325.91,9040004558.750004,949503520.0100001,0,1729268390.21,0,1476085149.08,0,963794513.0900003
"2023-02-28 00:00:00",82665292957.95999,38828104367.23,1702607628.5900002,6925961589.530001,1415977989.25,0,1720657987.74,0,1395233142.5399997,0,996588886.96
"2023-03-31 00:00:00",74314908242.15999,42921265222.200005,1511074984.6,6324279526.009999,1893746874.87,0,1501674729.95,0,1173494380.75,0,1039171736.5999999
"2023-04-30 00:00:00",71313121303.09,44015733953.75999,1488231799.2699997,6323287201.599998,1916028112.6699998,0,1488147565.33,0,1192207283.9199998,0,1012361125.6100001
"2023-05-31 00:00:00",70564950383.91,44603481890.29,1542225837.71,5572202607.47,1797938602.25,0,1460620172.5800004,0,1275812135.47,0,995721707.6099999
"2023-06-30 00:00:00",70168762170.43,43347107406.770004,1541159625.5500002,5602382502.68,1826255462.7100003,0,1381966541.5100002,0,1268933813.0500002,0,1025355486.4300001
"2023-07-31 00:00:00",68757495751.26001,43730178234.350006,1550418222.58,5151999865.329999,1901070126.32,10.02,1273675023.68,0,1228494582.35,0,1057074287.6999999
"2023-08-31 00:00:00",68852846890.23,43412180000.68,1510506736.0399997,5167826344.469999,1737992230.6699998,134450577.31,1171587076.72,0,1181944577.47,0,1053648086.71
"2023-09-30 00:00:00",67024222043.74001,43918924765.360016,1508228612.24,4987389697.110001,1842490976.05,156393873.62,1237114821.7799997,0,1172484656.54,0,1089849488.3400002
"2023-10-31 00:00:00",66066674908.159996,45247729570.67,1499609835.6699998,4989036331.900001,2074283464.2499998,259724550.61,1168752768.3899999,0,1128966326.39,0,1172145835.23
"2023-11-30 00:00:00",67339668036.12,47775049095.299995,1548967952.2999995,4989903868.970001,2281857242.7299995,251026037.2,1199537228.5299995,0,1000682539.4499999,0,1263706815.21
"2023-12-31 00:00:00",68350422700.82001,48478176041.639984,1842227036.79,4540726758.240001,2454264539.0400004,174805136.21,1249877972.11,0,1055348365.62,0,1214515096.4399996
"2024-01-31 00:00:00",71262522735.14,50345040685.72001,2181093926.5499997,4607797652.500001,2937348180.8399997,301778248.9,1309062017.6100001,0,1057548443.21,0,1306536927.03
"2024-02-29 00:00:00",74841566633.40997,51194008860.32,2299937884.5499997,4747599598.579999,3376619310.92,314993973.68,1449667037.3800004,0,1230660704.69,0,1411742767.07
"2024-03-31 00:00:00",80074831734.96,52265598132.45999,2834662768.26,4800118064.969999,3774609734.660001,1120026865.61,1486358223.7699995,0,1485741477.2300003,0,1784204109.79
"2024-04-30 00:00:00",83340021089.08997,55307786269.989975,3265255201.800001,5255391437.149999,3865785848.11,2615231749.3,1571666566.8099997,0,1818161594.4500003,0,2506129533.049999
"2024-05-31 00:00:00",81868216397.12001,56254799388.41,3058283098.39,5403746837.349998,3967088093.13,3101591994.6099997,1617982741.1399999,0,1808740697.3999996,0,2963209537.9899993
"2024-06-30 00:00:00",80596641019.36,57425882650.66,3073103563.9899983,5276552461.75,4037761539.37,3128647402.42,1757811981.93,0,1605625831.1399999,0,3610792745.67
"2024-07-31 00:00:00",81182392979.29,58457669285.59001,3415028916.3000007,5278400923.22,4460692721.74,3146652233.0299997,1862788493.23,0,1703969176.2,0,4015416367.0599995
"2024-08-31 00:00:00",85496559183.48,58820991619.95,3903797675.6299996,5231156622.49,4618768780,3228162207.020001,1982847770.6699998,0,1952680488.6399999,0,4193222006.12
"2024-09-30 00:00:00",86936689615.47,59308585030.03,3763088042.629999,5258688431.139998,4619704860.000001,3657561908.0099998,1897335878.3699996,0,2242284536.789999,0,4192111925.02
"2024-10-31 00:00:00",86237173433.04,59856171136.46,3725255839.2000003,5542552780.360002,4451764623.440001,3739063929.52,2015018766.32,0,2147634320.62,41111314.67,4211144690.2500005
"2024-11-30 00:00:00",106931025099.14998,58009808104.12999,4683099221.799998,6211207970.2699995,5731291378.320003,3584206657.5199995,1581170381.46,0,1934998093.8799996,152307337.49,3872758037.8099995
"2024-12-31 00:00:00",115749119792.76001,57855886859.829994,5266731968.69,6937642938.699998,6592982918.05,3654729650.889999,1646178544.1900003,0,2219030593.6900005,505724310.2,4106379081.45
"2025-01-31 00:00:00",120672544888.11996,59970984392.93999,11419305182.97,7034456382.239999,5231937473.610001,4019540088.0700006,1756669124.42,0,1813587294.38,681696654.94,4088019099.670001
"2025-02-28 00:00:00",127632787532.38998,63152338710.38999,11446164864.009998,7040352747.190003,5602889224.359999,4021222766.8199997,1894490136.7699995,0,1616348677.3700001,768271469.53,3679693860.9300003
"2025-03-31 00:00:00",129601984853.38,66227845946.94,12167490606.67,7153123998.820001,5192228938.09,4087594595.980001,2018525099.3699996,0,1852159394.99,985622819.01,4313360034.75
"2025-04-30 00:00:00",129349185926.86,71354154228.89,12779480447.969997,9340466833.320002,4985432670.140001,4080501082.6999993,1976537916.7299998,0,1632691439.5699997,1073861148.5900002,4168167987.3199997
"2025-05-31 00:00:00",129255808933.64998,76957925938.05,11056471385.84,10308934277.840002,6517847780.760001,4103488879.5,2156399062.17,0,1812926778.7599998,1277593519.6899998,4063156265.2500005
"2025-06-30 00:00:00",130084587044.58,80817819463.85,10181431439.549997,10557597422.439999,6861746511.639998,4129554915.8699994,2407092577.61,0,1339192116.4999998,1184708668.9199998,3634655591.78
"2025-07-31 00:00:00",137831478907.01,82565945875.01999,10916540664.399998,11231478390.940002,8352213009.139998,4063856763.0599995,2746401923.6399994,0,1556706325.5099998,1335507982.73,3794785120.41
"2025-08-31 00:00:00",155622984974.94,80395590823.02998,12428541297.340002,11709543757.06,9057797987.62,4284031210.8500004,2902650845.84,0,2052661490.2800004,1149419557.05,4110327422.14
"2025-09-30 00:00:00",163883567222.65002,76587817742.26001,14568467063.659996,13592473729.939995,9638625759.880001,4399411750.580001,2917800760.34,6092315025.59,1645051177.0900002,1070727878.6,4251081187.109999
"2025-10-31 00:00:00",170855558205.14996,78233140701.98,15411553409.01,14424588806,8397989261.119999,4654996531.99,3122997466.5799994,4299202112.43,2350562519.3800006,1375494938.97,4531841944.73
"2025-11-30 00:00:00",172846275763.24002,79162978685.90001,15462286021.41,14683962156.870003,8231271041.730002,4857189961.01,2918289671.0299997,2400276851.31,1646288071.3400002,1363890646.7400002,4206207240.5500007
"2025-12-31 00:00:00",170370433885.71994,81760000512.82002,15198702566.54,15047544201.43,7800522358.480002,4607380509.05,2912045511.8199997,2310875141.1600003,1715166828.13,1406552846.17,4231962974.27
"2026-01-31 00:00:00",165529664256.26004,84126033874.66003,15368274626.429996,15220185180.179996,7957564610.040002,4649867385.0199995,3017593265.36,2373498438.5499997,1800994103.8600001,1340971874.5299997,4331816180.93
